Back to Contents,Data 1: Retail,,,
Sourcekey,EMM_EPM0_PTE_NUS_DPG,,,
Date,U.S. All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),,,
YYYY,,,,
YYYY,1.078,,,
YYYY,1.158,,,
YYYY,1.245,,,
YYYY,1.244,,,
YYYY,1.072,,,
YYYY,1.176,,,
YYYY,1.523,,,
YYYY,1.46,,,
YYYY,1.386,,,
YYYY,1.603,,,
YYYY,1.895,,,
YYYY,2.314,,,
YYYY,2.618,,,
YYYY,2.843,,,
YYYY,3.299,,,
YYYY,2.406,,,
YYYY,2.835,,,
YYYY,3.576,,,
YYYY,3.68,,,
YYYY,3.575,,,
YYYY,3.437,,,
YYYY,2.52,,,
YYYY,2.25,,,
YYYY,2.528,,,
YYYY,2.813,,,
,,,,
