Date,East Coast All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),New England (PADD 1A) All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),Midwest All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),Gulf Coast All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),Rocky Mountain All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),West Coast All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),West Coast (PADD 5) Except California All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),
YYYY,,,,,,,,,,
YYYY,1.061,1.101,1.105,1.035,1.058,1.06,1.141,1.177,,
YYYY,1.176,1.25,1.228,1.136,1.11,1.159,1.179,1.251,,
YYYY,1.243,1.315,1.285,1.208,1.215,1.227,1.275,1.36,,
YYYY,1.25,1.33,1.296,1.211,1.205,1.217,1.298,1.375,,
YYYY,1.061,1.117,1.103,1.028,1.047,1.032,1.136,1.199,,
YYYY,1.148,1.204,1.192,1.115,1.143,1.12,1.245,1.374,1.326,
YYYY,1.508,1.576,1.56,1.467,1.504,1.456,1.554,1.674,1.625,
YYYY,1.43,1.505,1.489,1.373,1.447,1.371,1.49,1.626,1.55,
YYYY,1.372,1.419,1.412,1.33,1.365,1.319,1.396,1.507,1.411,
YYYY,1.588,1.645,1.639,1.534,1.548,1.5,1.609,1.82,1.715,
YYYY,1.892,1.922,1.932,1.853,1.831,1.789,1.888,2.11,2.004,
YYYY,2.326,2.324,2.352,2.306,2.248,2.235,2.306,2.48,2.409,
YYYY,2.631,2.654,2.68,2.588,2.547,2.524,2.599,2.804,2.709,
YYYY,2.823,2.84,2.856,2.794,2.816,2.717,2.842,3.053,2.922,
YYYY,3.316,3.302,3.346,3.297,3.225,3.188,3.262,3.498,3.383,
YYYY,2.399,2.414,2.437,2.366,2.342,2.28,2.333,2.662,2.544,
YYYY,2.824,2.864,2.859,2.787,2.779,2.702,2.815,3.083,2.98,
YYYY,3.587,3.666,3.629,3.535,3.532,3.423,3.465,3.792,3.659,
YYYY,3.695,3.785,3.763,3.618,3.605,3.479,3.552,3.984,3.805,
YYYY,3.599,3.692,3.654,3.532,3.515,3.374,3.481,3.831,3.642,
YYYY,3.47,3.547,3.533,3.401,3.36,3.216,3.394,3.706,3.545,
YYYY,2.483,2.507,2.559,2.42,2.411,2.256,2.481,3.042,2.709,
YYYY,2.252,2.255,2.312,2.206,2.143,2.024,2.212,2.646,2.395,
YYYY,2.533,2.532,2.639,2.455,2.405,2.295,2.498,2.948,2.704,
YYYY,2.768,2.826,2.89,2.671,2.667,2.532,2.867,3.378,3.105,
,,,,,,,,,,
