Back to Contents,Data 4: Cities,,,,,,,,,,
Sourcekey,EMM_EPM0_PTE_YBOS_DPG,EMM_EPM0_PTE_YORD_DPG,EMM_EPM0_PTE_YCLE_DPG,EMM_EPM0_PTE_YDEN_DPG,EMM_EPM0_PTE_Y44HO_DPG,EMM_EPM0_PTE_Y05LA_DPG,EMM_EPM0_PTE_YMIA_DPG,EMM_EPM0_PTE_Y35NY_DPG,EMM_EPM0_PTE_Y05SF_DPG,EMM_EPM0_PTE_Y48SE_DPG,
Date,"Boston, MA All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon)",Chicago All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),"Cleveland, OH All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon)",Denver All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),Houston All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),Los Angeles All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),"Miami, FL All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon)",New York City All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),San Francisco All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),"Seattle, WA All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon)",
YYYY,,,,,,,,,,,
YYYY,,1.565,,1.501,1.372,1.605,,1.554,1.822,,
YYYY,,1.464,,1.386,1.318,1.523,,1.453,1.623,,
YYYY,,1.656,,1.564,1.479,1.868,,1.681,1.945,,
YYYY,1.905,1.937,1.845,1.848,1.757,2.195,1.967,1.956,2.195,1.988,
YYYY,2.306,2.356,2.265,2.283,2.214,2.536,2.443,2.359,2.529,2.403,
YYYY,2.616,2.702,2.54,2.575,2.512,2.881,2.726,2.695,2.841,2.722,
YYYY,2.765,2.981,2.805,2.815,2.658,3.098,2.927,2.86,3.223,2.985,
YYYY,3.228,3.448,3.217,3.203,3.142,3.558,3.447,3.352,3.618,3.432,
YYYY,2.361,2.503,2.372,2.282,2.231,2.735,2.521,2.437,2.74,2.604,
YYYY,2.799,2.978,2.793,2.699,2.654,3.158,2.93,2.882,3.165,3.043,
YYYY,3.589,3.784,3.53,3.428,3.41,3.898,3.696,3.685,3.88,3.769,
YYYY,3.71,3.9,3.632,3.525,3.497,4.133,3.799,3.808,4.088,3.896,
YYYY,3.611,3.817,3.542,3.463,3.379,3.994,3.744,3.696,3.948,3.729,
YYYY,3.471,3.643,3.414,3.387,3.23,3.833,3.59,3.545,3.83,3.646,
YYYY,2.453,2.724,2.42,2.405,2.249,3.343,2.701,2.523,3.192,2.816,
YYYY,2.217,2.361,2.195,2.13,2.003,2.853,2.47,2.261,2.812,2.553,
YYYY,2.506,2.62,2.405,2.428,2.26,3.104,2.852,2.607,3.142,2.929,
YYYY,2.824,2.909,2.644,2.734,2.53,3.577,2.849,2.867,3.626,3.339,
,,,,,,,,,,,
