,,,,,,
,Workbook Contents,,,,,
,"Retail Prices for Gasoline, All Grades ",,,,,
,,,,,,
,Click worksheet name or tab at bottom for data,,,,,
,Worksheet Name,Description,# Of Series,Frequency,Latest Data for,
,Data 1,Retail,1,Monthly,12/2018,4/15/1993
,Data 2,Regions,9,Monthly,12/2018,4/15/1993
,Data 3,States,9,Monthly,12/2018,5/15/2000
,Data 4,Cities,10,Monthly,12/2018,6/15/2000
,,,,,,
,Release Date:,1/21/2019,,,,
,Next Release Date:,1/28/2019,,,,
,,,,,,
,Excel File Name:,pet_pri_gnd_a_epm0_pte_dpgal_m.xls,,,,
,Available from Web Page:,http://www.eia.gov/dnav/pet/pet_pri_gnd_a_epm0_pte_dpgal_m.htm,,,,
,Source:,Energy Information Administration,,,,
,"For Help, Contact:",infoctr@eia.gov,,,,
,,(202) 586-8800,,,1/22/2019 3:36:19 PM,
