Back to Contents,Data 2: Regions,,,,,,,,,
Sourcekey,EMM_EPM0_PTE_R10_DPG,EMM_EPM0_PTE_R1X_DPG,EMM_EPM0_PTE_R1Y_DPG,EMM_EPM0_PTE_R1Z_DPG,EMM_EPM0_PTE_R20_DPG,EMM_EPM0_PTE_R30_DPG,EMM_EPM0_PTE_R40_DPG,EMM_EPM0_PTE_R50_DPG,EMM_EPM0_PTE_R5XCA_DPG,
Date,East Coast All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),New England (PADD 1A) All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),Midwest All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),Gulf Coast All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),Rocky Mountain All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),West Coast All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),West Coast (PADD 5) Except California All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),
Apr-1993,1.05,1.073,1.074,1.035,1.071,1.074,1.125,1.155,,
May-1993,1.071,1.092,1.092,1.059,1.095,1.092,1.155,1.175,,
Jun-1993,1.075,1.102,1.096,1.061,1.083,1.092,1.135,1.186,,
Jul-1993,1.064,1.093,1.088,1.048,1.05,1.082,1.121,1.175,,
Aug-1993,1.048,1.077,1.074,1.031,1.032,1.066,1.116,1.156,,
Sep-1993,1.031,1.064,1.061,1.012,1.019,1.052,1.11,1.161,,
Oct-1993,1.064,1.094,1.102,1.042,1.07,1.08,1.163,1.212,,
Nov-1993,1.048,1.08,1.09,1.024,1.038,1.053,1.168,1.177,,
Dec-1993,1.011,1.052,1.061,0.982,0.965,1.01,1.126,1.131,,
Jan-1994,0.987,1.034,1.036,0.958,0.966,0.984,1.076,1.108,,
Feb-1994,0.995,1.033,1.038,0.969,0.987,0.986,1.072,1.108,,
Mar-1994,0.994,1.037,1.033,0.97,0.986,0.983,1.058,1.112,,
Apr-1994,1.005,1.035,1.033,0.988,1.016,1.011,1.052,1.123,,
May-1994,1.021,1.055,1.056,1,1.039,1.025,1.076,1.146,,
Jun-1994,1.048,1.083,1.088,1.025,1.075,1.051,1.136,1.17,,
Jul-1994,1.073,1.108,1.114,1.048,1.106,1.076,1.17,1.196,,
Aug-1994,1.116,1.153,1.158,1.091,1.166,1.124,1.241,1.223,,
Sep-1994,1.118,1.156,1.16,1.093,1.135,1.124,1.257,1.225,,
Oct-1994,1.103,1.139,1.151,1.074,1.084,1.101,1.189,1.229,,
Nov-1994,1.122,1.165,1.178,1.089,1.079,1.108,1.183,1.232,,
Dec-1994,1.159,1.226,1.226,1.114,1.052,1.147,1.176,1.257,,
Jan-1995,1.152,1.223,1.219,1.105,1.061,1.143,1.157,1.262,,
Feb-1995,1.14,1.217,1.199,1.097,1.059,1.133,1.132,1.244,,
Mar-1995,1.132,1.205,1.186,1.091,1.067,1.126,1.145,1.23,,
Apr-1995,1.156,1.21,1.195,1.125,1.131,1.16,1.17,1.243,,
May-1995,1.234,1.277,1.269,1.209,1.197,1.232,1.209,1.285,,
Jun-1995,1.261,1.314,1.301,1.231,1.202,1.248,1.214,1.291,,
Jul-1995,1.236,1.306,1.284,1.197,1.143,1.214,1.2,1.273,,
Aug-1995,1.204,1.284,1.255,1.162,1.116,1.171,1.184,1.248,,
Sep-1995,1.183,1.272,1.238,1.139,1.112,1.148,1.192,1.237,,
Oct-1995,1.157,1.253,1.211,1.113,1.078,1.122,1.186,1.241,,
Nov-1995,1.123,1.214,1.177,1.079,1.058,1.095,1.179,1.227,,
Dec-1995,1.121,1.216,1.185,1.071,1.085,1.1,1.17,1.219,,
Jan-1996,1.14,1.236,1.2,1.091,1.11,1.124,1.156,1.225,,
Feb-1996,1.138,1.225,1.193,1.094,1.108,1.124,1.154,1.228,,
Mar-1996,1.171,1.234,1.21,1.139,1.17,1.172,1.193,1.273,,
Apr-1996,1.263,1.313,1.289,1.24,1.247,1.269,1.278,1.413,,
May-1996,1.315,1.382,1.354,1.282,1.273,1.303,1.357,1.539,,
Jun-1996,1.296,1.367,1.339,1.261,1.244,1.281,1.327,1.512,,
Jul-1996,1.268,1.338,1.311,1.234,1.223,1.247,1.301,1.47,,
Aug-1996,1.248,1.318,1.286,1.217,1.205,1.229,1.302,1.421,,
Sep-1996,1.24,1.313,1.276,1.208,1.218,1.223,1.306,1.372,,
Oct-1996,1.247,1.32,1.281,1.217,1.228,1.227,1.31,1.333,,
Nov-1996,1.281,1.347,1.317,1.251,1.28,1.257,1.318,1.281,,
Dec-1996,1.303,1.386,1.353,1.263,1.273,1.268,1.301,1.265,,
Jan-1997,1.305,1.391,1.356,1.263,1.265,1.263,1.294,1.305,,
Feb-1997,1.297,1.38,1.342,1.258,1.243,1.262,1.291,1.345,,
Mar-1997,1.27,1.344,1.305,1.238,1.2,1.239,1.285,1.369,,
Apr-1997,1.249,1.32,1.275,1.223,1.191,1.226,1.304,1.41,,
May-1997,1.237,1.301,1.275,1.206,1.217,1.213,1.289,1.39,,
Jun-1997,1.233,1.303,1.278,1.197,1.225,1.212,1.291,1.352,,
Jul-1997,1.215,1.279,1.261,1.179,1.199,1.194,1.296,1.31,,
Aug-1997,1.261,1.342,1.309,1.222,1.258,1.227,1.313,1.362,,
Sep-1997,1.282,1.377,1.342,1.234,1.232,1.234,1.316,1.448,,
Oct-1997,1.25,1.346,1.308,1.202,1.18,1.209,1.311,1.441,,
Nov-1997,1.221,1.315,1.272,1.177,1.159,1.182,1.305,1.406,,
Dec-1997,1.185,1.275,1.234,1.144,1.111,1.155,1.289,1.358,,
Jan-1998,1.147,1.235,1.194,1.106,1.058,1.123,1.235,1.307,,
Feb-1998,1.106,1.194,1.144,1.07,1.048,1.084,1.143,1.225,,
Mar-1998,1.069,1.137,1.097,1.042,1.041,1.054,1.07,1.135,,
Apr-1998,1.074,1.128,1.102,1.05,1.06,1.057,1.095,1.164,,
May-1998,1.078,1.126,1.114,1.051,1.101,1.052,1.149,1.243,,
Jun-1998,1.072,1.123,1.119,1.038,1.098,1.042,1.188,1.232,1.199,
Jul-1998,1.063,1.105,1.11,1.03,1.094,1.034,1.164,1.215,1.189,
Aug-1998,1.043,1.088,1.093,1.007,1.049,1.012,1.155,1.195,1.176,
Sep-1998,1.026,1.072,1.078,0.991,1.034,0.991,1.143,1.182,1.165,
Oct-1998,1.041,1.085,1.088,1.009,1.041,1.01,1.138,1.177,1.16,
Nov-1998,1.029,1.074,1.074,0.996,1.001,0.989,1.124,1.173,1.148,
Dec-1998,0.986,1.051,1.034,0.949,0.934,0.948,1.033,1.159,1.124,
Jan-1999,0.971,1.036,1.018,0.935,0.942,0.941,0.997,1.144,1.106,
Feb-1999,0.952,1.011,0.993,0.919,0.919,0.932,0.999,1.121,1.076,
Mar-1999,0.983,1.025,1.012,0.959,1.002,0.966,1.058,1.224,1.151,
Apr-1999,1.098,1.138,1.128,1.075,1.125,1.083,1.228,1.55,1.425,
May-1999,1.123,1.167,1.164,1.094,1.127,1.099,1.254,1.458,1.381,
Jun-1999,1.116,1.166,1.161,1.083,1.124,1.095,1.24,1.367,1.344,
Jul-1999,1.157,1.205,1.198,1.127,1.167,1.129,1.27,1.427,1.388,
Aug-1999,1.219,1.28,1.268,1.183,1.22,1.189,1.371,1.511,1.443,
Sep-1999,1.265,1.323,1.315,1.228,1.277,1.232,1.405,1.454,1.422,
Oct-1999,1.285,1.358,1.344,1.24,1.24,1.248,1.39,1.413,1.397,
Nov-1999,1.288,1.358,1.34,1.248,1.269,1.247,1.358,1.392,1.381,
Dec-1999,1.316,1.378,1.364,1.279,1.287,1.273,1.356,1.409,1.393,
Jan-2000,1.327,1.391,1.37,1.293,1.323,1.28,1.336,1.399,1.392,
Feb-2000,1.398,1.433,1.418,1.38,1.437,1.362,1.39,1.467,1.445,
Mar-2000,1.543,1.577,1.569,1.523,1.523,1.51,1.554,1.725,1.645,
Apr-2000,1.499,1.547,1.544,1.466,1.433,1.467,1.565,1.74,1.679,
May-2000,1.502,1.55,1.537,1.471,1.522,1.469,1.529,1.66,1.614,
Jun-2000,1.595,1.661,1.64,1.56,1.807,1.54,1.604,1.637,1.595,
Jul-2000,1.604,1.674,1.67,1.556,1.543,1.55,1.64,1.713,1.66,
Aug-2000,1.526,1.63,1.608,1.465,1.421,1.466,1.59,1.695,1.662,
Sep-2000,1.557,1.639,1.62,1.509,1.566,1.499,1.634,1.811,1.735,
Oct-2000,1.543,1.624,1.605,1.496,1.536,1.481,1.651,1.806,1.737,
Nov-2000,1.531,1.619,1.599,1.479,1.531,1.463,1.636,1.768,1.709,
Dec-2000,1.479,1.585,1.559,1.417,1.433,1.403,1.539,1.695,1.653,
Jan-2001,1.471,1.547,1.521,1.431,1.486,1.417,1.466,1.614,1.571,
Feb-2001,1.482,1.531,1.515,1.455,1.467,1.436,1.476,1.634,1.568,
Mar-2001,1.435,1.497,1.476,1.401,1.404,1.387,1.47,1.674,1.585,
Apr-2001,1.547,1.569,1.573,1.529,1.611,1.522,1.558,1.734,1.594,
May-2001,1.666,1.755,1.737,1.611,1.818,1.622,1.699,1.845,1.642,
Jun-2001,1.635,1.765,1.724,1.541,1.619,1.551,1.693,1.856,1.659,
Jul-2001,1.481,1.618,1.596,1.358,1.34,1.352,1.544,1.732,,
Aug-2001,1.423,1.502,1.504,1.341,1.502,1.338,1.471,1.573,,
Sep-2001,1.457,1.491,1.495,1.419,1.661,1.424,1.609,1.691,,
Oct-2001,1.327,1.408,1.38,1.266,1.281,1.275,1.498,1.587,,
Nov-2001,1.185,1.267,1.243,1.12,1.16,1.126,1.3,1.413,,
Dec-2001,1.112,1.166,1.156,1.065,1.119,1.062,1.153,1.223,,
Jan-2002,1.146,1.192,1.178,1.11,1.129,1.095,1.156,1.23,,
Feb-2002,1.143,1.195,1.178,1.102,1.126,1.094,1.149,1.284,,
Mar-2002,1.25,1.285,1.27,1.226,1.289,1.225,1.253,1.432,,
Apr-2002,1.42,1.441,1.44,1.399,1.412,1.375,1.426,1.581,,
May-2002,1.421,1.46,1.457,1.383,1.41,1.368,1.427,1.56,,
Jun-2002,1.399,1.444,1.443,1.354,1.402,1.346,1.421,1.579,,
Jul-2002,1.403,1.444,1.447,1.358,1.432,1.345,1.468,1.594,,
Aug-2002,1.421,1.483,1.474,1.364,1.409,1.353,1.498,1.584,,
Sep-2002,1.426,1.485,1.48,1.369,1.418,1.365,1.483,1.571,,
Oct-2002,1.472,1.5,1.499,1.444,1.506,1.43,1.506,1.528,,
Nov-2002,1.465,1.525,1.51,1.416,1.423,1.406,1.487,1.558,,
Dec-2002,1.449,1.525,1.509,1.383,1.377,1.378,1.429,1.523,,
Jan-2003,1.511,1.559,1.557,1.463,1.47,1.449,1.46,1.583,,
Feb-2003,1.641,1.678,1.67,1.609,1.635,1.591,1.614,1.778,,
Mar-2003,1.684,1.722,1.719,1.648,1.662,1.63,1.704,2.053,,
Apr-2003,1.599,1.662,1.658,1.54,1.516,1.523,1.63,1.991,,
May-2003,1.51,1.579,1.577,1.442,1.47,1.424,1.553,1.813,,
Jun-2003,1.499,1.548,1.538,1.456,1.5,1.427,1.544,1.76,,
Jul-2003,1.535,1.567,1.556,1.511,1.509,1.47,1.582,1.748,,
Aug-2003,1.626,1.662,1.645,1.601,1.634,1.555,1.685,1.875,,
Sep-2003,1.711,1.814,1.788,1.625,1.64,1.572,1.748,2.013,,
Oct-2003,1.616,1.72,1.706,1.521,1.554,1.466,1.627,1.798,,
Nov-2003,1.562,1.627,1.639,1.487,1.508,1.439,1.595,1.715,,
Dec-2003,1.54,1.586,1.599,1.482,1.463,1.437,1.543,1.659,,
Jan-2004,1.629,1.653,1.655,1.603,1.59,1.541,1.575,1.701,,
Feb-2004,1.69,1.716,1.721,1.66,1.648,1.596,1.626,1.862,,
Mar-2004,1.756,1.772,1.787,1.728,1.709,1.656,1.763,2.063,,
Apr-2004,1.8,1.794,1.819,1.788,1.783,1.724,1.874,2.121,,
May-2004,1.996,2.029,2.038,1.956,1.984,1.898,2.018,2.266,,
Jun-2004,2.031,2.108,2.092,1.964,1.901,1.9,2.006,2.27,,
Jul-2004,1.963,2.003,2.018,1.91,1.881,1.844,1.955,2.164,,
Aug-2004,1.92,1.969,1.978,1.863,1.873,1.828,1.939,2.084,,
Sep-2004,1.91,1.938,1.949,1.873,1.867,1.811,1.924,2.087,2.034,
Oct-2004,2.028,2.05,2.063,1.995,1.979,1.929,2.008,2.291,2.134,
Nov-2004,2.027,2.055,2.064,1.99,1.938,1.916,2.012,2.265,2.109,
Dec-2004,1.922,1.943,1.969,1.881,1.778,1.79,1.909,2.082,1.969,
Jan-2005,1.896,1.895,1.932,1.869,1.841,1.791,1.836,1.971,1.888,
Feb-2005,1.948,1.965,1.973,1.925,1.918,1.861,1.915,2.113,2.02,
Mar-2005,2.09,2.075,2.088,2.097,2.109,2.034,2.098,2.291,2.187,
Apr-2005,2.258,2.237,2.252,2.269,2.219,2.198,2.275,2.54,2.433,
May-2005,2.203,2.221,2.226,2.18,2.096,2.104,2.263,2.482,2.41,
Jun-2005,2.199,2.224,2.231,2.168,2.142,2.108,2.206,2.377,2.314,
Jul-2005,2.339,2.4,2.382,2.29,2.273,2.237,2.31,2.516,2.435,
Aug-2005,2.531,2.552,2.561,2.502,2.487,2.448,2.474,2.683,2.614,
Sep-2005,3.046,3.078,3.137,2.969,2.862,2.818,2.954,3.017,2.989,
Oct-2005,2.807,2.726,2.784,2.846,2.638,2.752,2.803,2.896,2.841,
Nov-2005,2.318,2.26,2.35,2.31,2.168,2.253,2.351,2.542,2.488,
Dec-2005,2.242,2.23,2.287,2.213,2.207,2.177,2.152,2.3,2.265,
Jan-2006,2.414,2.419,2.464,2.376,2.321,2.3,2.237,2.39,2.328,
Feb-2006,2.351,2.34,2.403,2.316,2.253,2.242,2.276,2.48,2.368,
Mar-2006,2.457,2.414,2.463,2.465,2.465,2.411,2.383,2.567,2.459,
Apr-2006,2.807,2.773,2.814,2.811,2.744,2.775,2.583,2.865,2.753,
May-2006,2.961,3.002,3.035,2.894,2.828,2.847,2.867,3.263,3.126,
Jun-2006,2.93,3.019,2.996,2.856,2.841,2.819,2.882,3.195,3.074,
Jul-2006,3.032,3.081,3.088,2.976,2.999,2.91,2.942,3.179,3.027,
Aug-2006,3.018,3.074,3.071,2.964,2.941,2.889,3.046,3.146,3.024,
Sep-2006,2.642,2.698,2.714,2.572,2.425,2.492,2.874,2.895,2.816,
Oct-2006,2.284,2.314,2.344,2.231,2.19,2.171,2.477,2.564,2.51,
Nov-2006,2.261,2.267,2.299,2.231,2.236,2.15,2.295,2.488,2.45,
