Back to Contents,Data 1: U.S. Gasoline and Diesel Retail Prices,,,,,,,,,,,,,,,
Sourcekey,EMM_EPM0_PTE_NUS_DPG,EMM_EPM0U_PTE_NUS_DPG,EMM_EPM0R_PTE_NUS_DPG,EMM_EPMR_PTE_NUS_DPG,EMM_EPMRU_PTE_NUS_DPG,EMM_EPMRR_PTE_NUS_DPG,EMM_EPMM_PTE_NUS_DPG,EMM_EPMMU_PTE_NUS_DPG,EMM_EPMMR_PTE_NUS_DPG,EMM_EPMP_PTE_NUS_DPG,EMM_EPMPU_PTE_NUS_DPG,EMM_EPMPR_PTE_NUS_DPG,EMD_EPD2D_PTE_NUS_DPG,EMD_EPD2DXL0_PTE_NUS_DPG,EMD_EPD2DM10_PTE_NUS_DPG,
Date,U.S. All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),U.S. All Grades Conventional Retail Gasoline Prices (Dollars per Gallon),U.S. All Grades Reformulated Retail Gasoline Prices (Dollars per Gallon),U.S. Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),U.S. Regular Conventional Retail Gasoline Prices (Dollars per Gallon),U.S. Regular Reformulated Retail Gasoline Prices (Dollars per Gallon),U.S. Midgrade All Formulations Retail Gasoline Prices (Dollars per Gallon),U.S. Midgrade Conventional Retail Gasoline Prices (Dollars per Gallon),U.S. Midgrade Reformulated Retail Gasoline Prices (Dollars per Gallon),U.S. Premium All Formulations Retail Gasoline Prices (Dollars per Gallon),U.S. Premium Conventional Retail Gasoline Prices (Dollars per Gallon),U.S. Premium Reformulated Retail Gasoline Prices (Dollars per Gallon),U.S. No 2 Diesel Retail Prices (Dollars per Gallon),U.S. No 2 Diesel Ultra Low Sulfur (0-15 ppm) Retail Prices (Dollars per Gallon),U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),
YYYY,,,,,,,,,,,,,,,,
YYYY,,,,,,,,,,,,,,,,
YYYY,,,,1.087,1.087,,,,,,,,,,,
YYYY,,,,1.067,1.067,,,,,,,,,,,
YYYY,1.078,,,1.075,1.072,,,,,,,,,,,
YYYY,1.158,1.144,1.22,1.111,1.103,1.163,1.201,1.196,1.285,1.298,1.287,1.369,1.109,,,
YYYY,1.245,1.231,1.297,1.199,1.192,1.242,1.285,1.28,1.364,1.381,1.371,1.438,1.235,,,
YYYY,1.244,1.228,1.307,1.199,1.189,1.252,1.284,1.277,1.377,1.38,1.368,1.447,1.198,,,
YYYY,1.072,1.056,1.133,1.03,1.017,1.078,1.122,1.106,1.201,1.214,1.199,1.276,1.044,,,
YYYY,1.176,1.156,1.26,1.136,1.116,1.195,1.234,1.207,1.331,1.32,1.297,1.4,1.121,,,
YYYY,1.523,1.501,1.605,1.484,1.462,1.543,1.576,1.549,1.67,1.663,1.639,1.741,1.491,,,
YYYY,1.46,1.422,1.549,1.42,1.384,1.498,1.513,1.468,1.615,1.602,1.561,1.692,1.401,,,
YYYY,1.386,1.352,1.453,1.345,1.313,1.408,1.439,1.399,1.517,1.53,1.496,1.594,1.319,,,
YYYY,1.603,1.555,1.701,1.561,1.516,1.655,1.658,1.601,1.77,1.748,1.697,1.842,1.509,,,
YYYY,1.895,1.851,1.984,1.852,1.812,1.937,1.95,1.898,2.052,2.042,1.997,2.124,1.81,,,
YYYY,2.314,2.281,2.382,2.27,2.24,2.335,2.37,2.33,2.448,2.468,2.436,2.529,2.402,,,
YYYY,2.618,2.576,2.705,2.572,2.533,2.654,2.676,2.625,2.775,2.779,2.735,2.86,2.705,,,
YYYY,2.843,2.811,2.91,2.796,2.767,2.857,2.904,2.86,2.989,3.008,2.975,3.068,2.885,,,
YYYY,3.299,3.263,3.372,3.246,3.213,3.314,3.367,3.318,3.46,3.485,3.45,3.55,3.803,3.814,,
YYYY,2.406,2.365,2.49,2.353,2.315,2.433,2.474,2.42,2.578,2.59,2.552,2.661,2.467,2.473,,
YYYY,2.835,2.793,2.921,2.782,2.742,2.864,2.902,2.848,3.008,3.022,2.983,3.093,2.992,2.993,,
YYYY,3.576,3.528,3.675,3.521,3.476,3.616,3.644,3.583,3.762,3.771,3.726,3.856,3.84,3.84,,
YYYY,3.68,3.61,3.822,3.618,3.552,3.757,3.756,3.671,3.92,3.894,3.828,4.017,3.968,3.968,,
YYYY,3.575,3.511,3.707,3.505,3.443,3.635,3.663,3.584,3.815,3.822,3.765,3.929,3.922,3.922,,
YYYY,3.437,3.376,3.559,3.358,3.299,3.481,3.539,3.469,3.675,3.71,3.664,3.796,3.825,3.825,,
YYYY,2.52,2.423,2.718,2.429,2.334,2.629,2.645,2.531,2.865,2.83,2.75,2.979,2.707,2.707,,
YYYY,2.25,2.177,2.398,2.143,2.07,2.296,2.395,2.313,2.552,2.616,2.567,2.706,2.304,2.304,,
YYYY,2.528,2.448,2.691,2.415,2.333,2.586,2.682,2.595,2.849,2.917,2.865,3.013,2.65,2.65,,
YYYY,2.813,2.714,3.008,2.719,2.631,2.904,3.055,2.934,3.247,3.294,3.206,3.412,3.178,3.178,,
,,,,,,,,,,,,,,,,
