,,,,,,
,Workbook Contents,,,,,
,U.S. Gasoline and Diesel Retail Prices,,,,,
,,,,,,
,Click worksheet name or tab at bottom for data,,,,,
,Worksheet Name,Description,# Of Series,Frequency,Latest Data for,
,Data 1,U.S. Gasoline and Diesel Retail Prices,15,Weekly,1/21/2019,8/20/1990
,,,,,,
,Release Date:,1/21/2019,,,,
,Next Release Date:,1/28/2019,,,,
,,,,,,
,Excel File Name:,pet_pri_gnd_dcus_nus_w.xls,,,,
,Available from Web Page:,http://www.eia.gov/dnav/pet/pet_pri_gnd_dcus_nus_w.htm,,,,
,Source:,Energy Information Administration,,,,
,"For Help, Contact:",infoctr@eia.gov,,,,
,,(202) 586-8800,,,1/22/2019 3:36:44 PM,
